tas,Year,Month,Country
11.7882,1923,4,AFG
17.0999,1923,5,AFG
22.8885,1923,6,AFG
24.2342,1923,7,AFG
23.8692,1923,8,AFG
16.7474,1923,9,AFG
12.0875,1923,10,AFG
5.07798,1923,11,AFG
0.02518,1923,12,AFG
0.43736,1924,1,AFG
2.28246,1924,2,AFG
8.32239,1924,3,AFG
12.4525,1924,4,AFG
15.4634,1924,5,AFG
21.889,1924,6,AFG
24.881,1924,7,AFG
23.3224,1924,8,AFG
17.71,1924,9,AFG
12.6561,1924,10,AFG
6.11842,1924,11,AFG
1.03532,1924,12,AFG
-2.6608,1925,1,AFG
-2.1571,1925,2,AFG
8.60153,1925,3,AFG
13.942,1925,4,AFG
18.7211,1925,5,AFG
23.8797,1925,6,AFG
25.4042,1925,7,AFG
23.4415,1925,8,AFG
18.7894,1925,9,AFG
13.8286,1925,10,AFG
6.1124,1925,11,AFG
4.63266,1925,12,AFG
1.39687,1926,1,AFG
3.56965,1926,2,AFG
7.37725,1926,3,AFG
10.4305,1926,4,AFG
18.0501,1926,5,AFG
22.7614,1926,6,AFG
25.8632,1926,7,AFG
24.9894,1926,8,AFG
19.0772,1926,9,AFG
12.5166,1926,10,AFG
3.62316,1926,11,AFG
3.16742,1926,12,AFG
-1.5777,1927,1,AFG
0.50322,1927,2,AFG
5.51798,1927,3,AFG
13.0294,1927,4,AFG
18.3443,1927,5,AFG
23.1808,1927,6,AFG
26.2586,1927,7,AFG
24.2463,1927,8,AFG
19.4749,1927,9,AFG
14.6232,1927,10,AFG
6.62191,1927,11,AFG
2.84122,1927,12,AFG
-1.4744,1928,1,AFG
2.30104,1928,2,AFG
5.25844,1928,3,AFG
13.7675,1928,4,AFG
18.84,1928,5,AFG
23.1288,1928,6,AFG
24.477,1928,7,AFG
22.8039,1928,8,AFG
17.6578,1928,9,AFG
12.8115,1928,10,AFG
7.05553,1928,11,AFG
1.6202,1928,12,AFG
-2.6874,1929,1,AFG
0.36535,1929,2,AFG
8.58008,1929,3,AFG
14.9126,1929,4,AFG
17.9556,1929,5,AFG
22.6732,1929,6,AFG
24.6995,1929,7,AFG
22.6517,1929,8,AFG
19.9293,1929,9,AFG
12.1252,1929,10,AFG
6.16684,1929,11,AFG
-2.6794,1929,12,AFG
-5.0327,1930,1,AFG
0.24716,1930,2,AFG
6.75882,1930,3,AFG
11.9245,1930,4,AFG
18.129,1930,5,AFG
23.7499,1930,6,AFG
25.5405,1930,7,AFG
23.3755,1930,8,AFG
18.1152,1930,9,AFG
12.8395,1930,10,AFG
7.63886,1930,11,AFG
1.11022,1930,12,AFG
0.50695,1931,1,AFG
-2.1432,1931,2,AFG
7.33182,1931,3,AFG
14.0385,1931,4,AFG
16.4754,1931,5,AFG
21.3935,1931,6,AFG
24.0169,1931,7,AFG
24.6102,1931,8,AFG
19.1577,1931,9,AFG
12.495,1931,10,AFG
5.88544,1931,11,AFG
0.78551,1931,12,AFG
0.70181,1932,1,AFG
2.90655,1932,2,AFG
7.80071,1932,3,AFG
14.4298,1932,4,AFG
16.7546,1932,5,AFG
22.8166,1932,6,AFG
25.4149,1932,7,AFG
22.5878,1932,8,AFG
19.0445,1932,9,AFG
11.5753,1932,10,AFG
5.92037,1932,11,AFG
-1.3769,1932,12,AFG
-3.0007,1933,1,AFG
2.61272,1933,2,AFG
5.20752,1933,3,AFG
11.7745,1933,4,AFG
18.6438,1933,5,AFG
23.1434,1933,6,AFG
25.9776,1933,7,AFG
23.8015,1933,8,AFG
18.2017,1933,9,AFG
12.2284,1933,10,AFG
7.22514,1933,11,AFG
3.77776,1933,12,AFG
-4.7511,1934,1,AFG
4.34035,1934,2,AFG
6.48884,1934,3,AFG
12.0562,1934,4,AFG
15.0589,1934,5,AFG
22.9664,1934,6,AFG
24.5065,1934,7,AFG
24.3439,1934,8,AFG
18.3337,1934,9,AFG
11.5732,1934,10,AFG
5.30346,1934,11,AFG
3.17322,1934,12,AFG
-2.9003,1935,1,AFG
3.23743,1935,2,AFG
7.24872,1935,3,AFG
11.5833,1935,4,AFG
16.529,1935,5,AFG
21.0305,1935,6,AFG
24.7755,1935,7,AFG
24.233,1935,8,AFG
18.3386,1935,9,AFG
12.2876,1935,10,AFG
5.47649,1935,11,AFG
2.08076,1935,12,AFG
-1.7149,1936,1,AFG
3.48242,1936,2,AFG
4.83607,1936,3,AFG
12.2449,1936,4,AFG
19.9455,1936,5,AFG
23.5751,1936,6,AFG
25.0305,1936,7,AFG
23.2656,1936,8,AFG
20.08,1936,9,AFG
14.5383,1936,10,AFG
5.76884,1936,11,AFG
0.76179,1936,12,AFG
-2.0639,1937,1,AFG
2.72531,1937,2,AFG
4.7623,1937,3,AFG
10.8419,1937,4,AFG
18.3151,1937,5,AFG
23.6069,1937,6,AFG
25.661,1937,7,AFG
24.2535,1937,8,AFG
19.0747,1937,9,AFG
11.9343,1937,10,AFG
5.44318,1937,11,AFG
0.30757,1937,12,AFG
0.68198,1938,1,AFG
2.72449,1938,2,AFG
6.29324,1938,3,AFG
14.2658,1938,4,AFG
20.2833,1938,5,AFG
22.5204,1938,6,AFG
24.28,1938,7,AFG
23.8545,1938,8,AFG
18.7049,1938,9,AFG
12.705,1938,10,AFG
4.87731,1938,11,AFG
2.28652,1938,12,AFG
1.37457,1939,1,AFG
1.84371,1939,2,AFG
4.8624,1939,3,AFG
9.83531,1939,4,AFG
17.2344,1939,5,AFG
24.7023,1939,6,AFG
24.8997,1939,7,AFG
23.5192,1939,8,AFG
19.9375,1939,9,AFG
13.5007,1939,10,AFG
7.80831,1939,11,AFG
5.082,1939,12,AFG
2.24156,1940,1,AFG
4.30256,1940,2,AFG
5.40551,1940,3,AFG
13.0034,1940,4,AFG
18.3623,1940,5,AFG
23.9537,1940,6,AFG
25.7127,1940,7,AFG
22.8971,1940,8,AFG
19.2209,1940,9,AFG
14.8514,1940,10,AFG
8.08427,1940,11,AFG
3.45218,1940,12,AFG
0.50551,1941,1,AFG
5.43087,1941,2,AFG
9.95397,1941,3,AFG
14.2527,1941,4,AFG
19.6679,1941,5,AFG
24.2495,1941,6,AFG
24.8501,1941,7,AFG
24.6876,1941,8,AFG
18.9106,1941,9,AFG
15.8291,1941,10,AFG
7.53203,1941,11,AFG
3.13273,1941,12,AFG
0.77286,1942,1,AFG
1.27877,1942,2,AFG
8.62047,1942,3,AFG
13.4671,1942,4,AFG
18.8009,1942,5,AFG
22.6384,1942,6,AFG
25.5122,1942,7,AFG
23.1014,1942,8,AFG
18.5608,1942,9,AFG
14.0686,1942,10,AFG
9.44127,1942,11,AFG
0.64965,1942,12,AFG
-1.0289,1943,1,AFG
2.00515,1943,2,AFG
5.70068,1943,3,AFG
11.6941,1943,4,AFG
17.0499,1943,5,AFG
22.1157,1943,6,AFG
25.131,1943,7,AFG
24.0957,1943,8,AFG
18.7196,1943,9,AFG
12.1016,1943,10,AFG
6.58883,1943,11,AFG
4.66511,1943,12,AFG
1.57119,1944,1,AFG
2.9601,1944,2,AFG
9.82059,1944,3,AFG
13.1721,1944,4,AFG
18.9338,1944,5,AFG
23.2501,1944,6,AFG
26.5688,1944,7,AFG
24.1446,1944,8,AFG
18.228,1944,9,AFG
12.8698,1944,10,AFG
7.55671,1944,11,AFG
-2.4839,1944,12,AFG
-1.4634,1945,1,AFG
0.77619,1945,2,AFG
6.77164,1945,3,AFG
11.9898,1945,4,AFG
16.8113,1945,5,AFG
23.0124,1945,6,AFG
24.6895,1945,7,AFG
24.418,1945,8,AFG
19.5501,1945,9,AFG
12.9979,1945,10,AFG
7.13554,1945,11,AFG
1.48932,1945,12,AFG
-0.4186,1946,1,AFG
4.21228,1946,2,AFG
7.91012,1946,3,AFG
15.8078,1946,4,AFG
20.5888,1946,5,AFG
23.4189,1946,6,AFG
24.9562,1946,7,AFG
23.8152,1946,8,AFG
19.3104,1946,9,AFG
14.918,1946,10,AFG
4.0236,1946,11,AFG
-1.3887,1946,12,AFG
1.68536,1947,1,AFG
2.8828,1947,2,AFG
9.26859,1947,3,AFG
13.7177,1947,4,AFG
18.0176,1947,5,AFG
22.4503,1947,6,AFG
24.6148,1947,7,AFG
25.55,1947,8,AFG
19.8019,1947,9,AFG
13.7145,1947,10,AFG
10.3144,1947,11,AFG
2.59029,1947,12,AFG
2.24662,1948,1,AFG
3.40949,1948,2,AFG
6.7176,1948,3,AFG
13.3222,1948,4,AFG
19.7658,1948,5,AFG
22.8701,1948,6,AFG
25.7621,1948,7,AFG
23.8465,1948,8,AFG
19.1652,1948,9,AFG
12.7991,1948,10,AFG
5.64369,1948,11,AFG
0.76505,1948,12,AFG
-2.2811,1949,1,AFG
2.37258,1949,2,AFG
7.49281,1949,3,AFG
13.3768,1949,4,AFG
18.3515,1949,5,AFG
21.0842,1949,6,AFG
25.3144,1949,7,AFG
22.7639,1949,8,AFG
18.8102,1949,9,AFG
10.4669,1949,10,AFG
4.04252,1949,11,AFG
1.8596,1949,12,AFG
-0.7403,1950,1,AFG
-0.9711,1950,2,AFG
6.34098,1950,3,AFG
10.411,1950,4,AFG
18.0904,1950,5,AFG
22.4087,1950,6,AFG
25.5303,1950,7,AFG
23.6012,1950,8,AFG
17.433,1950,9,AFG
13.209,1950,10,AFG
3.81763,1950,11,AFG
-0.9948,1950,12,AFG
0.07583,1951,1,AFG
-0.2509,1951,2,AFG
5.78777,1951,3,AFG
11.9392,1951,4,AFG
18.2599,1951,5,AFG
20.7018,1951,6,AFG
24.214,1951,7,AFG
23.2285,1951,8,AFG
20.0789,1951,9,AFG
15.8833,1951,10,AFG
7.50125,1951,11,AFG
4.5216,1951,12,AFG
0.90963,1952,1,AFG
4.8318,1952,2,AFG
7.62817,1952,3,AFG
13.9031,1952,4,AFG
17.6478,1952,5,AFG
23.2845,1952,6,AFG
25.0973,1952,7,AFG
23.171,1952,8,AFG
18.2152,1952,9,AFG
12.0493,1952,10,AFG
5.27636,1952,11,AFG
1.70161,1952,12,AFG
1.646,1953,1,AFG
5.80637,1953,2,AFG
8.15533,1953,3,AFG
13.0858,1953,4,AFG
18.4812,1953,5,AFG
23.0307,1953,6,AFG
25.9064,1953,7,AFG
23.4691,1953,8,AFG
19.063,1953,9,AFG
11.7743,1953,10,AFG
6.60401,1953,11,AFG
3.03596,1953,12,AFG
0.73176,1954,1,AFG
1.7341,1954,2,AFG
6.31721,1954,3,AFG
13.1282,1954,4,AFG
18.5052,1954,5,AFG
21.8774,1954,6,AFG
24.1761,1954,7,AFG
22.9595,1954,8,AFG
18.7268,1954,9,AFG
11.9529,1954,10,AFG
6.25192,1954,11,AFG
1.32747,1954,12,AFG
0.98591,1955,1,AFG
4.94458,1955,2,AFG
8.75699,1955,3,AFG
11.886,1955,4,AFG
16.4826,1955,5,AFG
21.9224,1955,6,AFG
25.1443,1955,7,AFG
25.0747,1955,8,AFG
19.5483,1955,9,AFG
11.7719,1955,10,AFG
7.98259,1955,11,AFG
4.4592,1955,12,AFG
0.30946,1956,1,AFG
2.99649,1956,2,AFG
7.08271,1956,3,AFG
13.2141,1956,4,AFG
19.5891,1956,5,AFG
21.5283,1956,6,AFG
24.996,1956,7,AFG
22.7837,1956,8,AFG
19.3108,1956,9,AFG
11.9098,1956,10,AFG
7.04383,1956,11,AFG
1.39747,1956,12,AFG
-2.1281,1957,1,AFG
-0.0201,1957,2,AFG
7.28636,1957,3,AFG
10.3079,1957,4,AFG
16.3042,1957,5,AFG
21.3577,1957,6,AFG
23.7031,1957,7,AFG
22.5988,1957,8,AFG
17.3032,1957,9,AFG
11.8682,1957,10,AFG
5.93527,1957,11,AFG
2.85206,1957,12,AFG
3.05225,1958,1,AFG
3.12942,1958,2,AFG
9.49085,1958,3,AFG
14.8395,1958,4,AFG
16.4439,1958,5,AFG
22.8985,1958,6,AFG
25.5404,1958,7,AFG
23.3524,1958,8,AFG
19.4833,1958,9,AFG
13.011,1958,10,AFG
4.22239,1958,11,AFG
4.19645,1958,12,AFG
-0.35,1959,1,AFG
0.52373,1959,2,AFG
7.6328,1959,3,AFG
13.8901,1959,4,AFG
17.4683,1959,5,AFG
22.8818,1959,6,AFG
24.1824,1959,7,AFG
25.1831,1959,8,AFG
21.3959,1959,9,AFG
14.229,1959,10,AFG
5.57952,1959,11,AFG
-0.2314,1959,12,AFG
1.72316,1960,1,AFG
5.59478,1960,2,AFG
4.40896,1960,3,AFG
10.7585,1960,4,AFG
16.4325,1960,5,AFG
23.2907,1960,6,AFG
24.7223,1960,7,AFG
23.8685,1960,8,AFG
18.8816,1960,9,AFG
12.7773,1960,10,AFG
5.86279,1960,11,AFG
0.6116,1960,12,AFG
1.43497,1961,1,AFG
0.74134,1961,2,AFG
8.05595,1961,3,AFG
12.2055,1961,4,AFG
18.9441,1961,5,AFG
22.647,1961,6,AFG
25.5329,1961,7,AFG
23.6936,1961,8,AFG
20.6867,1961,9,AFG
11.4507,1961,10,AFG
5.99112,1961,11,AFG
3.2053,1961,12,AFG
0.03757,1962,1,AFG
5.03289,1962,2,AFG
9.09317,1962,3,AFG
13.2567,1962,4,AFG
17.7382,1962,5,AFG
21.8175,1962,6,AFG
25.0071,1962,7,AFG
23.1677,1962,8,AFG
17.2782,1962,9,AFG
11.9547,1962,10,AFG
4.07024,1962,11,AFG
1.43908,1962,12,AFG
1.58338,1963,1,AFG
6.13607,1963,2,AFG
7.894,1963,3,AFG
13.9627,1963,4,AFG
17.4592,1963,5,AFG
24.0437,1963,6,AFG
25.0717,1963,7,AFG
23.3945,1963,8,AFG
19.0304,1963,9,AFG
14.5755,1963,10,AFG
7.26111,1963,11,AFG
1.795,1963,12,AFG
-3.8684,1964,1,AFG
2.33992,1964,2,AFG
9.16167,1964,3,AFG
12.5228,1964,4,AFG
17.8486,1964,5,AFG
22.1928,1964,6,AFG
24.8403,1964,7,AFG
24.1086,1964,8,AFG
18.7954,1964,9,AFG
9.94929,1964,10,AFG
5.73861,1964,11,AFG
-1.3287,1964,12,AFG
1.86968,1965,1,AFG
2.5947,1965,2,AFG
6.95364,1965,3,AFG
11.3315,1965,4,AFG
17.7552,1965,5,AFG
21.9887,1965,6,AFG
25.038,1965,7,AFG
22.6734,1965,8,AFG
18.1081,1965,9,AFG
15.2346,1965,10,AFG
8.62099,1965,11,AFG
1.48782,1965,12,AFG
3.51579,1966,1,AFG
6.59035,1966,2,AFG
7.83695,1966,3,AFG
12.095,1966,4,AFG
17.5637,1966,5,AFG
24.216,1966,6,AFG
24.4471,1966,7,AFG
23.5295,1966,8,AFG
18.5661,1966,9,AFG
12.5097,1966,10,AFG
4.3674,1966,11,AFG
1.82575,1966,12,AFG
-1.4845,1967,1,AFG
3.21795,1967,2,AFG
7.11557,1967,3,AFG
12.3166,1967,4,AFG
16.4343,1967,5,AFG
21.7514,1967,6,AFG
25.3884,1967,7,AFG
23.3311,1967,8,AFG
19.1554,1967,9,AFG
12.4769,1967,10,AFG
8.09212,1967,11,AFG
2.40833,1967,12,AFG
0.63026,1968,1,AFG
0.67524,1968,2,AFG
8.04201,1968,3,AFG
12.2632,1968,4,AFG
16.0883,1968,5,AFG
22.5759,1968,6,AFG
24.439,1968,7,AFG
23.2191,1968,8,AFG
18.4488,1968,9,AFG
12.653,1968,10,AFG
7.1623,1968,11,AFG
2.88204,1968,12,AFG
-2.0817,1969,1,AFG
-0.8586,1969,2,AFG
9.84982,1969,3,AFG
12.4739,1969,4,AFG
16.9259,1969,5,AFG
22.6712,1969,6,AFG
24.8559,1969,7,AFG
22.8234,1969,8,AFG
17.6827,1969,9,AFG
13.4637,1969,10,AFG
5.68754,1969,11,AFG
4.49009,1969,12,AFG
0.93077,1970,1,AFG
4.31168,1970,2,AFG
6.59618,1970,3,AFG
14.5572,1970,4,AFG
19.5275,1970,5,AFG
23.1916,1970,6,AFG
24.3862,1970,7,AFG
25.6381,1970,8,AFG
19.0165,1970,9,AFG
13.6959,1970,10,AFG
7.52699,1970,11,AFG
2.00943,1970,12,AFG
-1.3116,1971,1,AFG
3.41406,1971,2,AFG
9.13507,1971,3,AFG
14.4927,1971,4,AFG
20.1678,1971,5,AFG
24.5747,1971,6,AFG
24.9251,1971,7,AFG
23.7753,1971,8,AFG
18.1198,1971,9,AFG
12.5727,1971,10,AFG
8.45122,1971,11,AFG
4.52084,1971,12,AFG
-1.6609,1972,1,AFG
-4.5236,1972,2,AFG
5.73734,1972,3,AFG
12.4483,1972,4,AFG
16.5353,1972,5,AFG
22.1556,1972,6,AFG
23.1706,1972,7,AFG
20.9722,1972,8,AFG
17.8761,1972,9,AFG
12.6251,1972,10,AFG
7.88472,1972,11,AFG
0.38761,1972,12,AFG
-2.9398,1973,1,AFG
2.32447,1973,2,AFG
7.2392,1973,3,AFG
13.9259,1973,4,AFG
18.529,1973,5,AFG
24.7411,1973,6,AFG
25.3565,1973,7,AFG
24.1803,1973,8,AFG
18.6533,1973,9,AFG
12.903,1973,10,AFG
7.17727,1973,11,AFG
1.61043,1973,12,AFG
-1.0788,1974,1,AFG
-1.3724,1974,2,AFG
8.56362,1974,3,AFG
14.0676,1974,4,AFG
18.0407,1974,5,AFG
22.4189,1974,6,AFG
25.0132,1974,7,AFG
22.3528,1974,8,AFG
18.5607,1974,9,AFG
10.5266,1974,10,AFG
6.45625,1974,11,AFG
0.79436,1974,12,AFG
-1.0912,1975,1,AFG
0.87295,1975,2,AFG
6.58778,1975,3,AFG
12.0532,1975,4,AFG
17.6411,1975,5,AFG
23.2038,1975,6,AFG
25.0536,1975,7,AFG
24.0994,1975,8,AFG
19.3209,1975,9,AFG
12.1718,1975,10,AFG
4.66755,1975,11,AFG
1.65727,1975,12,AFG
2.1197,1976,1,AFG
1.22884,1976,2,AFG
4.80222,1976,3,AFG
12.2854,1976,4,AFG
18.4689,1976,5,AFG
22.4677,1976,6,AFG
25.7051,1976,7,AFG
23.9333,1976,8,AFG
19.5364,1976,9,AFG
13.588,1976,10,AFG
4.39543,1976,11,AFG
1.32735,1976,12,AFG
-3.2952,1977,1,AFG
2.01477,1977,2,AFG
11.1059,1977,3,AFG
14.6279,1977,4,AFG
18.4965,1977,5,AFG
24.734,1977,6,AFG
25.8761,1977,7,AFG
23.6396,1977,8,AFG
18.8051,1977,9,AFG
14.0416,1977,10,AFG
8.91967,1977,11,AFG
3.51429,1977,12,AFG
-0.8307,1978,1,AFG
2.04287,1978,2,AFG
6.16902,1978,3,AFG
14.7007,1978,4,AFG
19.0546,1978,5,AFG
23.6155,1978,6,AFG
25.3038,1978,7,AFG
23.6708,1978,8,AFG
19.6855,1978,9,AFG
13.7353,1978,10,AFG
5.60527,1978,11,AFG
4.468,1978,12,AFG
0.98277,1979,1,AFG
3.5551,1979,2,AFG
6.29791,1979,3,AFG
14.6077,1979,4,AFG
15.5084,1979,5,AFG
22.7882,1979,6,AFG
25.5666,1979,7,AFG
22.6085,1979,8,AFG
19.3738,1979,9,AFG
15.1593,1979,10,AFG
5.64832,1979,11,AFG
3.68524,1979,12,AFG
-0.7494,1980,1,AFG
1.39528,1980,2,AFG
6.47639,1980,3,AFG
15.799,1980,4,AFG
19.3732,1980,5,AFG
22.5055,1980,6,AFG
25.517,1980,7,AFG
23.8457,1980,8,AFG
18.8231,1980,9,AFG
13.8118,1980,10,AFG
8.7623,1980,11,AFG
3.85991,1980,12,AFG
1.66771,1981,1,AFG
3.53316,1981,2,AFG
8.95703,1981,3,AFG
14.0686,1981,4,AFG
19.1484,1981,5,AFG
21.97,1981,6,AFG
25.346,1981,7,AFG
23.4213,1981,8,AFG
18.9115,1981,9,AFG
11.9125,1981,10,AFG
7.22816,1981,11,AFG
4.07258,1981,12,AFG
0.61405,1982,1,AFG
0.26894,1982,2,AFG
5.97825,1982,3,AFG
13.4585,1982,4,AFG
18.4475,1982,5,AFG
22.8303,1982,6,AFG
24.4054,1982,7,AFG
23.5614,1982,8,AFG
17.8375,1982,9,AFG
13.7595,1982,10,AFG
5.49973,1982,11,AFG
0.70737,1982,12,AFG
0.61184,1983,1,AFG
3.33111,1983,2,AFG
5.41816,1983,3,AFG
12.0376,1983,4,AFG
19.0629,1983,5,AFG
23.4794,1983,6,AFG
26.161,1983,7,AFG
26.1058,1983,8,AFG
20.5031,1983,9,AFG
13.3462,1983,10,AFG
8.3912,1983,11,AFG
2.13275,1983,12,AFG
-0.0378,1984,1,AFG
-1.5965,1984,2,AFG
9.0876,1984,3,AFG
